battle,country,numbers,start,end,front,duration,rate
Battle_of_Mount_Ortigara,Italy,23000,6/10/1917,6/25/1917,Italian,16,1437.5
Eleventh_Battle_of_the_Isonzo,Austria,105000,8/18/1917,9/12/1917,Italian,26,4038.461538
Eleventh_Battle_of_the_Isonzo,Italy,148000,8/18/1917,9/12/1917,Italian,26,5692.307692
Battle_of_Caporetto,Austria,70000,10/24/1917,11/12/1917,Italian,20,3500
Battle_of_Caporetto,Italy,655000,10/24/1917,11/12/1917,Italian,20,32750
Battle_of_the_Piave_river,Austria,175000,6/15/1918,6/23/1918,Italian,9,19444.44444
Battle_of_the_Piave_river,Italy,43000,6/15/1918,6/23/1918,Italian,9,4777.777778
Battle_of_Vittorio_Veneto,Austria,461000,10/24/1918,11/3/1918,Italian,11,41909.09091
Battle_of_Vittorio_Veneto,Italy,34000,10/24/1918,11/3/1918,Italian,11,3090.909091
Battle_of_Cer,Austria,44500,8/15/1914,8/24/1914,Balkans,10,4450
Battle_of_Drina,Austria,17000,9/6/1914,10/4/1914,Balkans,29,586.2068966
Battle_of_Kolubara,Austria,273000,11/16/1914,12/1/1914,Balkans,16,17062.5
Battle_of_Mojkovac,Austria,5000,1/6/1916,1/7/1916,Balkans,2,2500
Battle_of_Morava,Bulgaria,13500,10/14/1915,11/9/1915,Balkans,27,500
Battle_of_Malka_Nidzhe,Bulgaria,1700,9/12/1916,9/14/1916,Balkans,3,566.6666667
Battle_of_Cer,Serbia,20000,8/15/1914,8/24/1914,Balkans,10,2000
Battle_of_Drina,Serbia,18500,9/6/1914,10/4/1914,Balkans,29,637.9310345
Battle_of_Kolubara,Serbia,132000,11/16/1914,12/1/1914,Balkans,16,8250
Battle_of_Morava,Serbia,6000,10/14/1915,11/9/1915,Balkans,27,222.2222222
Battle_of_Kosovo_(1915),Serbia,30000,11/10/1915,12/4/1915,Balkans,25,1200
Battle_of_Mojkovac,Serbia,2500,1/6/1916,1/7/1916,Balkans,2,1250
Monastir_Offensive,Serbia,27000,9/12/1916,12/11/1916,Balkans,91,296.7032967
Battle_of_Ovche_Pole,Bulgaria,30000,10/14/1915,11/15/1915,Balkans,33,909.0909091
Battle_of_Ovche_Pole,Serbia,90000,10/14/1915,11/15/1915,Balkans,33,2727.272727
Battle_of_Krivolak,Bulgaria,5900,10/17/1915,11/21/1915,Balkans,36,163.8888889
Battle_of_Krivolak,France,3200,10/17/1915,11/21/1915,Balkans,36,88.88888889
Battle_of_Kosturino,France,1800,12/6/1915,12/12/1915,Balkans,7,257.1428571
Battle_of_Kosturino,Britain,1300,12/6/1915,12/12/1915,Balkans,7,185.7142857
Battle_of_Doiran_(1916),Bulgaria,900,8/9/1916,8/18/1916,Balkans,10,90
Battle_of_Doiran_(1916),Britain,800,8/9/1916,8/18/1916,Balkans,10,80
Battle_of_Doiran_(1916),France,2400,8/9/1916,8/18/1916,Balkans,10,240
Battle_of_Florina,Bulgaria,5800,8/17/1916,8/28/1916,Balkans,12,483.3333333
Battle_of_Florina,Serbia,3900,8/17/1916,8/28/1916,Balkans,12,325
Battle_of_Dobrich,Bulgaria,3400,9/5/1916,9/7/1916,Eastern,3,1133.333333
Battle_of_Dobrich,Romania,6000,9/5/1916,9/7/1916,Eastern,3,2000
Monastir_Offensive,Bulgaria,53000,9/12/1916,12/11/1916,Balkans,91,582.4175824
Monastir_Offensive,Britain,4600,9/12/1916,12/11/1916,Balkans,91,50.54945055
Monastir_Offensive,France,13800,9/12/1916,12/11/1916,Balkans,91,151.6483516
Monastir_Offensive,Italy,1000,9/12/1916,12/11/1916,Balkans,91,10.98901099
Battle_of_Monastir_(1917),Bulgaria,3000,3/12/1917,5/26/1917,Balkans,76,39.47368421
Battle_of_Monastir_(1917),France,14000,3/12/1917,5/26/1917,Balkans,76,184.2105263
Battle_of_Doiran_(1917),Bulgaria,2000,4/22/1917,5/8/1917,Balkans,17,117.6470588
Battle_of_Doiran_(1917),Britain,12000,4/22/1917,5/8/1917,Balkans,17,705.8823529
Battle_of_the_Cerna_Bend_(1917),Bulgaria,1600,5/5/1917,5/9/1917,Balkans,5,320
Battle_of_the_Cerna_Bend_(1917),France,1700,5/5/1917,5/9/1917,Balkans,5,340
Battle_of_the_Cerna_Bend_(1917),Italy,2400,5/5/1917,5/9/1917,Balkans,5,480
Vardar_Offensive,Bulgaria,90000,9/14/1918,9/29/1918,Balkans,16,5625
Vardar_Offensive,Britain,4600,9/14/1918,9/29/1918,Balkans,16,287.5
Vardar_Offensive,France,3400,9/14/1918,9/29/1918,Balkans,16,212.5
Vardar_Offensive,Greece,5300,9/14/1918,9/29/1918,Balkans,16,331.25
Vardar_Offensive,Italy,800,9/14/1918,9/29/1918,Balkans,16,50
Vardar_Offensive,Serbia,3200,9/14/1918,9/29/1918,Balkans,16,200
Battle_of_Skra-di-Legen,Bulgaria,3000,5/29/1918,5/31/1918,Balkans,3,1000
Battle_of_Skra-di-Legen,Greece,2800,5/29/1918,5/31/1918,Balkans,3,933.3333333
Gallipoli_Campaign,Turkey,175000,4/25/1915,1/9/1916,Balkans,260,673.0769231
Gallipoli_Campaign,Britain,160800,4/25/1915,1/9/1916,Balkans,260,618.4615385
Gallipoli_Campaign,France,27200,4/25/1915,1/9/1916,Balkans,260,104.6153846
