name	title	link	start	end	is_allies
Raymond Poincare	French president	http://www.firstworldwar.com/bio/poincare.htm	1/1/1914	1/1/1920	1
Reinhard Scheer	German admiral	http://www.firstworldwar.com/bio/scheer.htm	1/18/1916	11/3/1918	0
Rene Viviani	French prime minister	http://www.firstworldwar.com/bio/viviani.htm	6/13/1914	10/28/1915	1
Robert Nivelle	French general	http://www.firstworldwar.com/bio/nivelle.htm	12/3/1916	5/16/1917	1
Sergey Sazonov	Russian foreign minister	http://www.firstworldwar.com/bio/sazonov.htm	6/29/1914	8/1/1914	1
Svetozar Boroevic	Austro-Hungarian general	http://www.firstworldwar.com/bio/boroevic.htm	5/25/1915	11/3/1918	0
Talaat Pasha	Ottoman interior minister	http://www.firstworldwar.com/bio/talaat.htm	10/29/1914	10/13/1918	0
Vittorio Orlando	Italian prime minister	http://www.firstworldwar.com/bio/orlando.htm	10/30/1917	6/23/1919	1
Vladimir Lenin	Russian revolutionary	http://www.history.com/topics/vladimir-lenin	4/16/1917	3/3/1918	1
Wilhelm II	Emperor of Germany	http://www.firstworldwar.com/bio/wilhelmii.htm	1/1/1914	11/9/1918	0
Winston Churchill	British Lord of the Admiralty	http://www.firstworldwar.com/bio/churchill.htm	10/5/1914	5/25/1915	1
Woodrow Wilson	U.S. president	http://www.firstworldwar.com/bio/wilson.htm	4/6/1917	1/1/1920	1
